"logFC","AveExpr","t","P.Value","adj.P.Val","B","PROBEID","SYMBOL","GENENAME"
2.15834829870383,0.53649412534263,12.9517447132174,6.58930618202155e-20,1.19184888119401e-16,34.635617505259,"AGhsA250611","IFI44L","interferon-induced protein 44-like"
2.03244482243758,0.542813595091259,13.3912045372952,1.30250395222401e-20,3.59206908133341e-17,36.1827258968804,"AGhsA190304","IFIT1","interferon-induced protein with tetratricopeptide repeats 1"
1.95415873015873,0.56,17.4036647987483,1.50279309860609e-26,4.55887314393143e-22,49.0641974883613,"AGhsA220908","HERC5","hect domain and RLD 5"
1.90539682539682,-0.288181818181818,5.56646325578778,4.94879419155181e-07,2.56626701871651e-05,6.00717602551283,"AGhsA050803","DEFA3","defensin, alpha 3, neutrophil-specific"
1.89806349206349,0.530151515151515,14.2311670316943,6.29310782222018e-22,2.38634648618589e-18,39.06447141792,"AGhsC011013","ARMC6///SFRS14","armadillo repeat containing 6///splicing factor, arginine/serine-rich 14"
1.86003174603175,0.562272727272727,14.9163627153529,5.6809964969655e-23,4.30846774329863e-19,41.3417493321577,"AGhsA060914","ISG15","ISG15 ubiquitin-like modifier"
1.82695238095238,0.741969696969697,12.7546634247573,1.37415327426278e-19,2.3159063182242e-16,33.9330864062109,"AGhsA021513","FAM14A","family with sequence similarity 14, member A"
1.66174603174603,0.339848484848485,10.0263197636554,5.78546629725674e-15,3.81538925203435e-12,23.6902327561899,"AGhsB020506","CLEC4E","C-type lectin domain family 4, member E"
1.61546031746032,0.357121212121212,15.0358273273712,3.75820416943362e-23,3.80029605613127e-19,41.7320565414057,"AGhsB200204","",""
1.59057878826502,0.502068054487297,8.5971119875815,2.02722212486320e-12,7.49973297315246e-10,18.0177554360016,"AGhsA170709","OAS2","2'-5'-oligoadenylate synthetase 2, 69/71kDa"
1.55465690885983,0.516211543268657,8.9988113760056,3.85672567967822e-13,1.53944250287787e-10,19.6258880086565,"AGhsB100404","TMEM123","transmembrane protein 123"
1.55184126984127,0.476212121212121,12.9610595710974,6.36510989352587e-20,1.19184888119401e-16,34.668689015678,"AGhsB251606","",""
1.52350806395426,0.569509197790919,9.14392257007263,2.12196657380305e-13,9.06647577223792e-11,20.2046498845903,"AGhsB130624","",""
1.47066666666667,0.483939393939394,13.0157650797277,5.19528977435361e-20,1.12574507567708e-16,34.8626728234278,"AGhsA231009","TNFAIP6","tumor necrosis factor, alpha-induced protein 6"
1.46860317460317,0.421060606060606,10.9194441190705,1.61836717054479e-16,1.81832542539432e-13,27.1425100352667,"AGhsB061503","",""
1.43584126984127,0.158636363636364,10.0746815139959,4.75752549030957e-15,3.27038663641451e-12,23.8793027482678,"AGhsA131222","FPR1","formyl peptide receptor 1"
